Title,Description
Analytical,"High level analytical skills developed in mathematics and science courses in school and university, supplemented by involvement in ongoing research projects through subjects and summer programs."
Organised,Highly organised approach to study and research has helped me secure high grades and provide high quality research assistance and teaching.
Technological,"Proficient in a wide range of computer programs and systems, including MS Word, Excel, R, Python and Linux. "
