Name,Date,Venue,Target Audience,Task
Inside Cells day,5-Dec-17,Oxford University Museum of Natural History,A-level High School students,Presentation about 'Fertilizers and the Environment'
Super Science Saturday: People and Planet,10-Mar-18,Oxford University Museum of Natural History,Families,Organizing and running 'Root-nodules' stall
Oxford University Press: Perspectives,22-Jan-20,Oxford University Press,English-Learning students,Interviewed about Nemo's Garden on Camera
