Name,Date,Place,Type,Title
Sensory Transduction in Microorganisms (GRS),11-12 January 2020,"Ventura, CA",Presentation,Strategically navigating through the soil: the integrated sensory systems of the legume symbiont Rhizobium leguminosarum
Sensory Transduction in Microorganisms (GRC),12-17 January 2020,"Ventura, CA",Poster,Strategically navigating through the soil: the integrated sensory systems of the legume symbiont Rhizobium leguminosarum
