Name,Place,Date,Amount
UQ Excellence Scholarship ,University of Queensland Scholarships,2012-2015,"24,000AUD"
UQ Summer Research Scholarship,University of Queensland Scholarships,2012-2013,"2,400AUD"
UQ Summer Research Scholarship,University of Queensland Scholarships,2013-2014,"2,400AUD"
UQ Honours Scholarship ,University of Queensland Scholarships,2015-2016,"4,000AUD"
Brasenose Oxford-Australia Clarendon Scholarship,University of Oxford Scholarships,2016-2020,
Brasenose Studentship Fund,University of Oxford Scholarships,2020,650GBP
