Institution,Degree,Description,Dates,Result
University of Queensland,Bachelor of Science,Biochemistry and Molecular Biology,July 2012 - June 2015,Grade Point Average: 6.3
University of Queensland,Bachelor of Science: Honours,Bioinformatics and Microbiology,July 2015 - June 2016,1st Class
University of Oxford,Doctor of Philosophy: Science,Interdisciplinary Bioscience Doctoral Training Partnership (BBSRC),September 2016 - Ongoing,
